round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2545687587860746,0.03929203539823009,111.0,2825.0,378.0,0.0,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.6666666666666666,0.5061403508771929,0.8070175438596491,0.5306251740462267,1.0,0.047619047619047616,0.21447253705318223,246.0,1.9722222222222223,0.14180426089224962,0.0897124198381212,0.0
1,0.2609360787232283,0.05238095238095238,154.0,2940.0,378.0,0.0,0.5217391304347826,0.5217391304347826,0.6328502415458936,0.7971014492753623,0.6661835748792271,0.9420289855072463,0.6740913273521969,1.0,0.09523809523809523,0.18962848297213622,245.0,,,,0.0
2,0.26891590176134955,0.0629690048939641,193.0,3065.0,378.0,0.0,0.4358974358974359,0.4358974358974359,0.5747863247863249,0.7564102564102564,0.6004273504273505,0.8717948717948718,0.6178367928367928,1.0,0.08994708994708994,0.19431643625192013,253.0,,,,0.0
3,0.277557264533201,0.06568196103079824,209.0,3182.0,378.0,0.0,0.3829787234042553,0.3829787234042553,0.5531914893617021,0.7446808510638298,0.576063829787234,0.851063829787234,0.5947610604525498,1.0,0.09523809523809523,0.18208955223880596,244.0,,,,0.0
4,0.28756305300587115,0.07411944869831547,242.0,3265.0,378.0,0.0,0.44761904761904764,0.44761904761904764,0.5523809523809524,0.6952380952380952,0.579047619047619,0.819047619047619,0.6035034013605443,1.0,0.12433862433862433,0.17862595419847327,234.0,,,,0.0
5,0.29744480277846685,0.07452447770502027,239.0,3207.0,378.0,0.0,0.3469387755102041,0.3469387755102041,0.4931972789115647,0.673469387755102,0.5273809523809524,0.826530612244898,0.5510163589245222,1.0,0.08994708994708994,0.18433931484502447,226.0,,,,0.0
6,0.30596212685024393,0.06615285806037251,206.0,3114.0,378.0,0.0,0.36,0.36,0.505,0.7,0.5285,0.8,0.5550039682539682,1.0,0.09523809523809523,0.2041932543299909,224.0,,,,0.0
7,0.31600926155627224,0.07449417535254445,243.0,3262.0,378.0,0.0,0.375,0.375,0.5133928571428571,0.6875,0.5348214285714286,0.7857142857142857,0.5627267573696144,1.0,0.1111111111111111,0.19023569023569023,226.0,,,,0.0
8,0.3262631274290912,0.07565588773642465,248.0,3278.0,378.0,0.0,0.2831858407079646,0.2831858407079646,0.42625368731563423,0.6283185840707964,0.45368731563421827,0.7522123893805309,0.48528585475488123,1.0,0.08465608465608465,0.1964133219470538,230.0,,,,0.0
9,0.3358141073348218,0.06846473029045644,231.0,3374.0,378.0,0.0,0.2336448598130841,0.2336448598130841,0.39252336448598135,0.6074766355140186,0.43177570093457945,0.7757009345794392,0.4628393413440143,1.0,0.06613756613756613,0.1906474820143885,212.0,,,,0.0
