C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/500  coverage=0.2059  prec@K=0.0521  accepted=209  loss=nan  (0.2s)
Round   51/500  coverage=0.4356  prec@K=0.0023  accepted=11  loss=nan  (1.0s)
Round  101/500  coverage=0.4439  prec@K=0.0000  accepted=0  loss=nan  (1.1s)
Round  151/500  coverage=0.4441  prec@K=0.0000  accepted=0  loss=nan  (1.2s)
Round  201/500  coverage=0.4441  prec@K=0.0000  accepted=0  loss=nan  (1.6s)
Round  251/500  coverage=0.4441  prec@K=0.0000  accepted=0  loss=nan  (1.3s)
Round  301/500  coverage=0.4441  prec@K=0.0000  accepted=0  loss=nan  (1.6s)
Round  351/500  coverage=0.4441  prec@K=0.0000  accepted=0  loss=nan  (1.5s)
Round  401/500  coverage=0.4442  prec@K=0.0000  accepted=0  loss=nan  (1.5s)
Round  451/500  coverage=0.4442  prec@K=0.0000  accepted=0  loss=nan  (1.7s)

结果已写入 results\online\gt_sweep\bitcoin_otc_init020/rounds.csv
