C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/500  coverage=0.5137  prec@K=0.0916  accepted=487  loss=nan  (0.4s)
Round   51/500  coverage=0.7449  prec@K=0.0045  accepted=25  loss=nan  (1.1s)
Round  101/500  coverage=0.7615  prec@K=0.0005  accepted=3  loss=nan  (1.3s)
Round  151/500  coverage=0.7639  prec@K=0.0002  accepted=1  loss=nan  (1.4s)
Round  201/500  coverage=0.7642  prec@K=0.0000  accepted=0  loss=nan  (1.8s)
Round  251/500  coverage=0.7643  prec@K=0.0000  accepted=0  loss=nan  (1.8s)
Round  301/500  coverage=0.7643  prec@K=0.0000  accepted=0  loss=nan  (1.7s)
Round  351/500  coverage=0.7643  prec@K=0.0000  accepted=0  loss=nan  (2.0s)
Round  401/500  coverage=0.7643  prec@K=0.0000  accepted=0  loss=nan  (1.6s)
Round  451/500  coverage=0.7643  prec@K=0.0000  accepted=0  loss=nan  (1.8s)

结果已写入 results\online\gt_sweep\bitcoin_otc_init050/rounds.csv
