C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/500  coverage=0.2558  prec@K=0.0213  accepted=32  loss=nan  (0.1s)
Round   51/500  coverage=0.4676  prec@K=0.0047  accepted=8  loss=nan  (0.1s)
Round  101/500  coverage=0.4867  prec@K=0.0006  accepted=1  loss=nan  (0.1s)
Round  151/500  coverage=0.4907  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  201/500  coverage=0.4914  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  251/500  coverage=0.4914  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  301/500  coverage=0.4914  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  351/500  coverage=0.4923  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  401/500  coverage=0.4927  prec@K=0.0000  accepted=0  loss=nan  (0.1s)
Round  451/500  coverage=0.4928  prec@K=0.0000  accepted=0  loss=nan  (0.1s)

结果已写入 results\online\algo_sweep_init025_cd_hard0\dnc_email_random/rounds.csv
