round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.27206815298169296,0.0664850136239782,122.0,1835.0,186.0,0.0,0.6296296296296297,0.6296296296296297,0.7716049382716049,0.9629629629629629,0.7808641975308641,1.0,0.7808641975308641,1.0,0.0913978494623656,0.15453639082751744,155.0,1.875,0.156363260099061,0.070673491564629,0.0
1,0.2954504259561356,0.0701468189233279,129.0,1839.0,186.0,0.0,0.631578947368421,0.631578947368421,0.7105263157894736,0.8157894736842105,0.7210526315789473,0.868421052631579,0.7400062656641604,1.0,0.12903225806451613,0.15422885572139303,155.0,,,,0.0
2,0.315026282399855,0.05860010851871948,108.0,1843.0,186.0,0.0,0.3,0.3,0.4333333333333333,0.625,0.47333333333333333,0.8,0.5018551587301587,1.0,0.06451612903225806,0.15285252960172227,142.0,,,,0.0
3,0.33623346021388434,0.06320907617504051,117.0,1851.0,186.0,0.0,0.4523809523809524,0.4523809523809524,0.5515873015873015,0.6904761904761905,0.5801587301587302,0.8095238095238095,0.6029383975812547,1.0,0.10215053763440861,0.15357561547479484,131.0,,,,0.0
4,0.355084284937466,0.05642973412913728,104.0,1843.0,186.0,0.0,0.26666666666666666,0.26666666666666666,0.38518518518518524,0.5333333333333333,0.43074074074074076,0.7333333333333333,0.466031746031746,1.0,0.06451612903225806,0.14518002322880372,125.0,,,,0.0
5,0.3726663041508066,0.052347544522396115,97.0,1853.0,186.0,0.0,0.20512820512820512,0.20512820512820512,0.34615384615384615,0.5128205128205128,0.38846153846153847,0.6923076923076923,0.4276251526251525,1.0,0.043010752688172046,0.15100671140939598,135.0,,,,0.0
6,0.38952329164400945,0.05059847660500544,93.0,1838.0,186.0,0.0,0.25,0.25,0.3611111111111111,0.5277777777777778,0.3944444444444445,0.6944444444444444,0.4341710758377425,1.0,0.04838709677419355,0.15347721822541965,128.0,,,,0.0
7,0.40275512053652346,0.03967391304347826,73.0,1840.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.24537037037037035,0.3611111111111111,0.31342592592592594,0.6666666666666666,0.35910493827160495,1.0,0.03225806451612903,0.15942028985507245,132.0,,,,0.0
8,0.4132680804785209,0.03130059363194819,58.0,1853.0,186.0,0.0,0.28,0.28,0.32,0.36,0.35,0.48,0.42236507936507933,1.0,0.03763440860215054,0.1537544696066746,129.0,,,,0.0
9,0.42541236179082836,0.03645266594124048,67.0,1838.0,186.0,0.0,0.36,0.36,0.4333333333333333,0.56,0.45133333333333325,0.64,0.4924920634920635,1.0,0.04838709677419355,0.14921780986762936,124.0,,,,0.0
10,0.43411274243248144,0.026030368763557483,48.0,1844.0,186.0,0.0,0.10526315789473684,0.10526315789473684,0.2456140350877193,0.42105263157894735,0.29298245614035084,0.631578947368421,0.3371971595655806,1.0,0.010752688172043012,0.15349369988545247,134.0,1.7572815533980584,0.11558340635800618,0.13902251745563332,0.0
11,0.4417255754939279,0.022988505747126436,42.0,1827.0,186.0,0.0,0.15,0.15,0.21666666666666665,0.3,0.2891666666666667,0.6,0.34789682539682537,1.0,0.016129032258064516,0.15454545454545454,136.0,,,,0.0
12,0.44680079753489216,0.015126958400864398,28.0,1851.0,186.0,0.0,0.17647058823529413,0.17647058823529413,0.2450980392156863,0.35294117647058826,0.2950980392156863,0.5882352941176471,0.34922969187675074,1.0,0.016129032258064516,0.15073115860517436,134.0,,,,0.0
13,0.4549574043864419,0.02437703141928494,45.0,1846.0,186.0,0.0,0.3157894736842105,0.3157894736842105,0.35964912280701755,0.42105263157894735,0.40964912280701754,0.631578947368421,0.45494987468671677,1.0,0.03225806451612903,0.14508928571428573,130.0,,,,0.0
14,0.46184520572775056,0.020674646354733407,38.0,1838.0,186.0,0.0,0.05263157894736842,0.05263157894736842,0.11403508771929824,0.21052631578947367,0.16666666666666669,0.47368421052631576,0.22850877192982458,1.0,0.005376344086021506,0.15454545454545454,136.0,,,,0.0
15,0.4661953960485771,0.013001083423618635,24.0,1846.0,186.0,0.0,0.06666666666666667,0.06666666666666667,0.14444444444444443,0.26666666666666666,0.18444444444444447,0.4666666666666667,0.25082010582010583,1.0,0.005376344086021506,0.15759637188208617,139.0,,,,0.0
16,0.4701830705093348,0.011840688912809472,22.0,1858.0,186.0,0.0,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.32142857142857145,0.5,0.38738662131519275,1.0,0.016129032258064516,0.14949037372593432,132.0,,,,0.0
17,0.47435200290012686,0.012445887445887446,23.0,1848.0,186.0,0.0,0.125,0.125,0.15625,0.1875,0.2,0.375,0.2807043650793651,1.0,0.010752688172043012,0.15195530726256984,136.0,,,,0.0
18,0.47616458220047125,0.005396654074473826,10.0,1853.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2261904761904762,0.42857142857142855,0.29563492063492064,1.0,0.005376344086021506,0.15006305170239598,119.0,,,,0.0
19,0.4776146456407468,0.004333694474539545,8.0,1846.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4154761904761905,1.0,0.010752688172043012,0.16203143893591293,134.0,,,,0.0
20,0.4790647090810223,0.004301075268817204,8.0,1860.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.3333333333333333,0.2881613756613757,1.0,0.005376344086021506,0.16147635524798154,140.0,1.8349514563106797,0.10849787884058104,0.14909177544451963,0.0
21,0.4805147725212978,0.004321988114532685,8.0,1851.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.2726851851851852,1.0,0.005376344086021506,0.15885714285714286,139.0,,,,0.0
22,0.48160232010150444,0.003244997295835587,6.0,1849.0,186.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.17555555555555552,1.0,0.0,0.15517241379310345,126.0,,,,0.0
