round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25005373019110405,0.005453020134228188,13.0,2384.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5277777777777778,0.8333333333333334,0.5555555555555555,1.0,0.008097165991902834,0.11049468331021729,239.0,2.4444444444444446,0.21849875507261077,0.006783415699084093,0.0
1,0.2501151361237944,0.0058997050147492625,14.0,2373.0,247.0,0.0,0.7272727272727273,0.7272727272727273,0.8030303030303031,0.9090909090909091,0.8257575757575758,1.0,0.8257575757575758,1.0,0.032388663967611336,0.11100702576112412,237.0,,,,0.0
2,0.25016338364233676,0.004592901878914405,11.0,2395.0,247.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.7444444444444445,0.8888888888888888,0.7567901234567902,1.0,0.024291497975708502,0.11352885525070956,240.0,,,,0.0
3,0.25021163116087913,0.004562422231439237,11.0,2411.0,247.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6888888888888889,0.7777777777777778,0.7186507936507938,1.0,0.024291497975708502,0.10828025477707007,238.0,,,,0.0
4,0.25027303709356946,0.005847953216374269,14.0,2394.0,247.0,0.0,0.5833333333333334,0.5833333333333334,0.6944444444444443,0.8333333333333334,0.7152777777777777,0.9166666666666666,0.7291666666666666,1.0,0.02834008097165992,0.10965111010421387,242.0,,,,0.0
5,0.2503212846121119,0.004619907601847963,11.0,2381.0,247.0,0.0,0.3,0.3,0.3833333333333333,0.5,0.4033333333333333,0.6,0.45499999999999996,1.0,0.012145748987854251,0.10757507844016136,240.0,,,,0.0
6,0.2503739182687036,0.0050526315789473685,12.0,2375.0,247.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.2803030303030303,0.45454545454545453,0.3554112554112554,1.0,0.008097165991902834,0.10837438423645321,242.0,,,,0.0
7,0.25040023509699944,0.00251994960100798,6.0,2381.0,247.0,0.0,0.4,0.4,0.4,0.4,0.49000000000000005,0.8,0.5233333333333333,1.0,0.008097165991902834,0.10929705215419501,241.0,,,,0.0
8,0.2504353242013939,0.003343083994985374,8.0,2393.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,0.8333333333333334,0.5238095238095238,1.0,0.008097165991902834,0.10824053452115813,243.0,,,,0.0
9,0.25046164102968976,0.002555366269165247,6.0,2348.0,247.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6904761904761904,1.0,0.012145748987854251,0.11050477489768076,243.0,,,,0.0
